name,lat,long
"Hollywood, California",34.0928092,-118.3286614
"New York, USA",40.7127753,-74.0059728
canberra,-35.2809368,149.1300092
Melbourne Business School,-37.8013221,144.9610796
Norway,60.47202399999999,8.468945999999999
"Morongo Valley, CA",34.0469549,-116.5808472
adelaide,-34.9284989,138.6007456
"Sydney,Tokyo and Perth",-31.9375637,115.9571503
Vermont,44.5588028,-72.57784149999999
"Kuala Lumpur, Malaysia",3.139003,101.686855
Formosa Taiwan,23.69781,120.960515
429.0,,
430.0,,
Blue Mountains,-33.409983,150.3037323
Location The Present,42.1417436,-87.8673694
"Ahuachapan, El Salvador",13.9259486,-89.84113819999999
"San Francisco Bay Area, USA",37.8271784,-122.2913078
Winnipeg,49.895136,-97.13837439999999
Aotearoa Land o te first light,-36.847171,174.773256
E,34.1372462,-118.3580959
"Peabody, MA",42.5278731,-70.9286609
"Naperville, DuPage, IL, USA",41.7508391,-88.1535352
440.0,,
Gladstone NSW,-31.0175428,152.9588416
Blue Nevada,39.4440747,-119.7692946
"Calgary, Alberta",51.0486151,-114.0708459
444.0,,
"Charleston, WV",38.3498195,-81.6326234
"1 Gabalaya St., Zamalek, Cairo",30.05340099999999,31.218483
"Osaka, Japan",34.6937249,135.5022535
Los Angeles / Singapore,34.0716833,-118.360341
nako,31.8815167,78.6274612
Asia and Africa,40.8119158,-73.9618016
"Canberra, Australia.",-35.2809368,149.1300092
452.0,,
ND USA,47.5514926,-101.0020119
Texas,31.9685988,-99.9018131
"San Francisco, CA",37.7749295,-122.4194155
Brisbane - Australia,-27.4697707,153.0251235
NQ,33.7299913,-117.9562954
"Santiago, Chile",-33.4488897,-70.6692655
"Canberra, Australian Capital Territory",-35.2809368,149.1300092
" Washington, DC",38.9071923,-77.0368707
461.0,,
"DeKalb, IL",41.9294736,-88.75036469999999
"New Jersey, USA",40.0583238,-74.4056612
Tennessee,35.5174913,-86.5804473
"Redondo Beach, CA",33.8491816,-118.3884078
Newcastle,54.978252,-1.61778
"Toronto, Ontario",43.653226,-79.3831843
468.0,,
South Korea,35.907757,127.766922
Birrarangga (Melbourne),-37.8136276,144.9630576
"Camperdown, Sydney",-33.89013,151.17988
South East Asia,-2.2179704,115.66283
22 km SSW of nowhere special,41.4136578,-96.93177179999999
474.0,,
"Paris, France",48.856614,2.3522219
"Massachusetts, USA",42.4072107,-71.3824374
Toronto/Sunshine Coast BC ,43.653226,-79.3831843
478.0,,
"Marathon, Florida Keys",24.726026,-81.0446262
"Toowoomba, Queensland",-27.5598212,151.9506696
"Mandurah, Western Australia",-32.5361038,115.7424077
"Pearl District, Portland OR",45.530209,-122.6812039
Chicago (The Loop),41.8786351,-87.6250549
"Buandig Land, South Australia",-30.0002315,136.2091547
"Singapore, London, Berlin",51.5073509,-0.1277583
"Naples, Florida",26.1420358,-81.7948103
Great Lks Region United States,45.0522366,-82.4846115
every where I need to be ,28.687536,-81.3465982
Newcastle NSW Awabakal Country,-32.9282712,151.7816802
490.0,,
London Kentucky,37.1289771,-84.08326459999999
"Australia, mate.",-37.7108554,144.8732756
493.0,,
"Auckland, New Zealand",-36.8484597,174.7633315
Aust,33.9915372,-118.4689392
Australia and Japan,35.6605882,139.7539035
Felton,37.0513374,-122.0732973
Colorado 🇺🇸 🇺🇸  Rocky Mountain ,39.5500507,-105.7820674
"Orlando, FL",28.5383355,-81.3792365
The Colonies.,32.640703,-96.87848299999999
"Lodi, California",38.1341477,-121.2722194
"Ukraine, Kyiv",50.4501,30.5234
"Naarm/Melbourne, Australia",-37.8136276,144.9630576
"Hobart, Tasmania",-42.8821377,147.3271949
Springfield Tn,36.5092118,-86.8849984
Area 51,37.2371623,-115.8018432
"Santiago Metropolitan Region,",-33.4375545,-70.6504896
"Suva, Fiji",-18.1248086,178.4500789
Somewhere,36.0404924,-95.9618958
"Chicago, IL",41.8781136,-87.6297982
"Denver, CO",39.7392358,-104.990251
Australia ,-25.274398,133.775136
"Melbourne, Victoria. Authorised by Adam Bandt, The Australian Greens, 296 Brunswick St, Fitzroy, 3065.",-37.7985101,144.9786736
"Ranchi, India",23.3440997,85.309562
"Daly, Northern Territory",-13.7128168,130.6872034
"South Carolina, USA",33.836081,-81.1637245
Melbourne Aus,-37.8136276,144.9630576
Yourtown,33.5263412,-84.6631657
Melbourne --Tirupur.,11.1085242,77.3410656
In the sky,49.323702,-123.1486816
Emerald Queensland Australia,-23.527291,148.164573
"Lansing, Michigan",42.732535,-84.5555347
Alice Springs,-23.698042,133.8807471
"Melbourne\Tripunithura, Cochin",-37.8136276,144.9630576
"Dharug Country, Australia",-33.3823877,151.0704263
526.0,,
United States of America,37.09024,-95.712891
Greater NYC Area,40.7127761,-74.0059544
against the odds..,39.2542446,-84.45626720000001
"Canterbury Region, New Zealand",-43.7542275,171.1637245
"Houston, Texas",29.7604267,-95.3698028
America's Heartland,41.099405,-100.7652379
WA,47.7510741,-120.7401385
"Manila, Philippines",14.5995124,120.9842195
NJ,40.0583238,-74.4056612
536.0,,
"Seoul,Korea",37.566535,126.9779692
Latinoamérica,-4.4420385,-61.32685350000001
The Bellarine,-38.132222,144.619722
"Brooklyn, NY",40.6781784,-73.9441579
Washington DC,38.9071923,-77.0368707
542.0,,
"Canberra,",-35.2809368,149.1300092
San Jose/New York City/Malibu,37.3382082,-121.8863286
Olympic Dam,-30.4758994,136.8876743
#Trump #MAGA,37.09024,-95.712891
547.0,,
New Delhi India,28.6139391,77.2090212
"Yuin Country | NSW, Australia (and sometimes Galway, Ireland)",-31.2532183,146.921099
Southern California,34.9592083,-116.419389
"Auckland, Aotearoa via 🇦🇺",-36.8484597,174.7633315
"Vicksburg,Ms and beyond",32.3096251,-90.8832638
Massachusetts,42.4072107,-71.3824374
Sur de la Florida,26.3013917,-80.6326916
"Kansas, USA",39.011902,-98.4842465
"Cairns, Queensland",-16.9185514,145.7780548
New-York-Sydney-Australia ,-33.862066,151.2061564
558.0,,
Far North Queensland ,-20.7722295,144.7851531
Kabul Afghanistan,34.5553494,69.207486
"Yeronga, Brisbane",-27.514,153.015
San Diego California,32.715738,-117.1610838
"Amherst, Massachusetts, USA",42.3732216,-72.5198537
"Landsmeer, Nederland",52.4403382,4.9209232
565.0,,
"Kansas City, MO",39.0997265,-94.5785667
"Portland, OR",45.5154586,-122.6793461
under the stars in Northern VA,37.4315734,-78.6568942
Living on Island time ...,26.559796,-80.053809
melbourne victoria australia,-37.8136276,144.9630576
Seattle-Palm Springs-New York,47.6062095,-122.3320708
572.0,,
Manila,14.5995124,120.9842195
Champaign Alley ,40.130433,-88.260251
Syracuse NY USA,43.0481221,-76.14742439999999
"Torquay, Torquay - Jan Juc",-38.3252547,144.3084645
"Cambridge, England",52.205337,0.121817
"Sydney,Ballarat, Brisbane,Melb",-33.8688197,151.2092955
"New York, London, Singapore",40.7127753,-74.0059728
Colorado,39.5500507,-105.7820674
581.0,,
"Baltimore, MD",39.2903848,-76.6121893
"Ohio, USA",40.4172871,-82.90712300000001
Australian in New Zealand.,-41.2714314,174.7809421
Mungindi NSW,-28.9692779,148.9888237
"Nashville, TN",36.1626638,-86.7816016
"Chatswood, Sydney",-33.80077,151.1796
588.0,,
"St Kilda East, Melbourne",-37.86199999999999,144.997
"Launceston, Australia",-41.43322149999999,147.1440875
"Sydney, Australia.",-33.8688197,151.2092955
Washington D.C,38.9071923,-77.0368707
"Redlands, Queensland",-27.5733214,153.3446649
Gig Harbor,47.32926399999999,-122.5801293
Motley Cow,46.3434249,-94.6838685
"Arlington, VA",38.8816208,-77.09098089999999
597.0,,
New York City ,40.7127753,-74.0059728
Northern Ireland,54.7877149,-6.4923145
Korea,37.66399759999999,127.9784585
Wangal land / InnerWest Sydney,-33.8584827,151.1286686
"Here and there, hither and yon (NYC/Paris)heidi dot n dot moore at gmail dot com",40.7127753,-74.0059728
95% Queanbeyan - 5% Sydney,-35.3530392,149.230896
Goolwa Beach South Australia,-35.5121467,138.7618244
Victoria Australia,-37.4713077,144.7851531
Sydney | Milano,-33.8688197,151.2092955
"West End, Townsville",-19.265,146.792778
608.0,,
Florida,27.6648274,-81.5157535
610.0,,
"ÜT: 45.246915,-76.163963",30.2849185,-97.7340567
Around The World,43.41957499999999,-73.7090135
613.0,,
North America,54.5259614,-105.2551187
Oz,36.1407932,-95.9523912
Barcelona,36.0880358,-95.9236998
617.0,,
618.0,,
sydney ,-33.8688197,151.2092955
620.0,,
"North Carolina, USA",35.7595731,-79.01929969999999
622.0,,
"Manhattan, NY",40.7830603,-73.9712488
Seattle/London/Kiev,47.6062095,-122.3320708
"Maitland, New South Wales",-32.7383988,151.5492182
"Blue Ridge, GA 🇺🇸",34.865533,-84.324726
Sydney Brisbane,-27.4656064,153.0298408
new York ,40.7127753,-74.0059728
"Pahrump, NV",36.2082943,-115.9839147
"Boston, MA USA",42.3600825,-71.0588801
NSW,-31.2532183,146.921099
"Jan Juc, Victoria, Australia",-38.333333,144.3
"Melbourne.  Oz, not FL.",28.0836269,-80.60810889999999
Brisbane Qld,-27.4697707,153.0251235
"Sydney, NSW +Yorkshire and The Humber",53.8048043,-1.552206
beautiful earth ,36.5394022,-80.2236016
Ottawa,45.4215296,-75.69719309999999
Bendigo,-36.7570157,144.2793906
"Orange, New South Wales",-33.283333,149.1
Newcastle NSW Australia,-32.9282712,151.7816802
"Byron Bay, New South Wales",-28.6473671,153.601977
Estonia,58.595272,25.0136071
"Köln, Deutschland",50.937531,6.9602786
644.0,,
Dreamland,33.49394729999999,-86.80261229999999
"Rockwood, TN",35.8656284,-84.68494
Coffs Harbour,-30.298612,153.1093922
Sydney and Melbourne,-33.8688197,151.2092955
"Philadelphia, PA",39.9525839,-75.1652215
Calif/OR summers,36.778261,-119.4179324
"Richardson, TX",32.9483335,-96.7298519
Port Adelaide,-34.846,138.503
Boulder CO,40.0149856,-105.2705456
"Dartford, England",51.44621,0.216872
"Lagos, Nigeria.",6.5243793,3.3792057
"Madrid, España",40.4167754,-3.7037902
Launceston/Canberra,-41.43322149999999,147.1440875
"Mildura, Victoria",-34.2080167,142.1245535
"Melbourne, Victoria, Aust",-37.8136276,144.9630576
Secret Location ,49.2837411,-123.1045006
"Japan,",36.204824,138.252924
The Internet,37.09024,-95.712891
"फालोदी, भारत",27.1312346,72.3589284
"Iowa, USA",41.8780025,-93.097702
"Rockhampton, Queensland",-23.3790772,150.510016
Groenland,71.706936,-42.604303
male. melbourne.,-37.834118,144.97095
"sydney, Australia",-33.8688197,151.2092955
Melbourne Aust,-37.8136276,144.9630576
she/her,26.508671,-80.08106599999999
Mullumbimby,-28.5469354,153.4969812
"Epping, Melbourne, Australia",-37.638,145.01
"Toronto, Ontario CANADA",43.653226,-79.3831843
"Victoria, British Columbia",48.4284207,-123.3656444
W-Canada,56.130366,-106.346771
"Copenhagen, Denmark",55.6760968,12.5683372
"Bamako, Mali",12.6392316,-8.0028892
Jerusalem,31.768319,35.21371
Australia ~ Awabakal land,-32.718943,152.1428487
Between UK and Refugee camps,51.5173492,-0.1107101
"Wollongong, Australia.",-34.4278121,150.8930607
"Arkansas, USA",35.20105,-91.8318334
Wellington NZ,-41.2864603,174.776236
Gundy in Australia,-32.0142813,150.9969266
